"Year","Construction","Farm","Installation","Mgmt_Bus_Fin","Office_Admin","Production","Professional","Sales","Service","Transport","WFH_only"
"2020/05","6872","1118","4372","26592","14497","6868","35738","26931","19087","9883","FALSE"
"2020/05","440","28","469","14561","5684","493","21225","9487","1507","494","TRUE"
"2020/06","7371","948","4460","26928","14995","7187","36408","28458","21164","9887","FALSE"
"2020/06","384","13","319","13337","5294","446","19665","8731","1421","329","TRUE"
"2020/07","7675","983","4524","26928","15238","7315","35566","29472","21929","10100","FALSE"
"2020/07","356","24","229","12365","4686","405","15567","7742","1188","318","TRUE"
"2020/08","7972","977","4610","27090","16032","7427","36004","30434","22673","10037","FALSE"
"2020/08","221","2","162","11649","4278","289","15228","7044","943","263","TRUE"
"2020/09","8038","966","4679","26747","15539","7696","36011","29696","23428","10534","FALSE"
"2020/09","198","20","205","11080","3724","301","14338","6096","1010","254","TRUE"
"2020/10","8240","1117","4599","27004","15970","7753","36274","30501","24137","10809","FALSE"
"2020/10","178","2","181","10329","3617","253","13803","6044","869","295","TRUE"
"2020/11","8024","1006","4648","27272","15921","7848","36116","30632","23822","10837","FALSE"
"2020/11","228","9","191","10855","3701","299","14000","5984","915","256","TRUE"
"2020/12","7580","1019","4593","27141","15904","8039","36866","30712","22490","11174","FALSE"
"2020/12","205","20","225","11592","3976","341","15220","6603","1043","251","TRUE"
"2021/01","7790","984","4461","27307","15654","7840","36580","30295","22366","10761","FALSE"
"2021/01","216","14","156","11516","3886","269","14732","6376","975","230","TRUE"
"2021/02","7497","1006","4706","27414","15819","7766","37058","30450","22574","11052","FALSE"
"2021/02","186","22","200","11254","3931","325","14326","6468","937","175","TRUE"
"2021/03","7647","1025","4730","27555","16017","7668","36948","30520","23194","11207","FALSE"
"2021/03","125","20","148","10799","3696","265","12979","6027","934","255","TRUE"
