"Year","Construction","Farm","Installation","Mgmt_Bus_Fin","Office_Admin","Production","Professional","Sales","Service","Transport","WFH_only"
2009,6863,1346,5454,22801,19196,8981,34308,15716,25460,8595,FALSE
2009,518,153,425,5918,1091,302,9054,2436,2082,382,TRUE
2010,7256,NA,5380,23670,17835,9060,35408,14964,24517,8651,FALSE
2010,520,NA,498,5870,1177,401,8028,2857,2255,535,TRUE
2011,7815,NA,5349,23525,18628,7865,34315,15467,27015,8399,FALSE
2011,486,NA,416,5981,1564,254,7855,2214,1564,274,TRUE
2012,6802,NA,5395,23190,18628,8159,36444,15798,25770,8825,FALSE
2012,743,NA,534,6028,1123,348,9226,2245,1571,432,TRUE
2013,5816,NA,5551,26096,19939,8934,35644,13239,26441,8242,FALSE
2013,592,NA,574,6782,1482,487,8259,1880,1740,336,TRUE
2014,7269,1405,4836,25005,17918,8943,35757,15712,27460,9376,FALSE
2014,681,NA,288,6842,977,278,8296,2925,2127,374,TRUE
2015,7456,1132,4442,26128,18230,8695,39491,15679,25733,9881,FALSE
2015,815,NA,305,7190,1367,314,9311,2255,1647,492,TRUE
2016,7236,1050,3926,27799,19100,8603,39787,15673,29115,9478,FALSE
2016,445,NA,160,6748,1317,421,9315,2550,1726,341,TRUE
2017,8520,1600,4422,27089,20398,9220,40366,14365,26449,9221,FALSE
2017,479,NA,286,7095,1262,258,9740,2592,1640,643,TRUE
2018,7149,1315,4970,29928,18931,9054,45908,12982,26566,8466,FALSE
2018,405,NA,NA,7414,1763,399,10099,2268,1625,352,TRUE
2019,9234,1485,5229,28036,18566,8790,43322,13725,27886,10029,FALSE
2019,699,NA,114,7455,1607,401,9612,2208,2706,231,TRUE
