Series ID,Year,Period,Label,Value
PRS31006113,2018,Q01,2018 Qtr1,114.018
PRS31006113,2018,Q02,2018 Qtr2,112.999
PRS31006113,2018,Q03,2018 Qtr3,113.222
PRS31006113,2018,Q04,2018 Qtr4,113.151
PRS31006113,2019,Q01,2019 Qtr1,114.961
PRS31006113,2019,Q02,2019 Qtr2,115.292
PRS31006113,2019,Q03,2019 Qtr3,114.248
PRS31006113,2019,Q04,2019 Qtr4,116.802
PRS31006113,2020,Q01,2020 Qtr1,118.885
PRS31006113,2020,Q02,2020 Qtr2,136.060
PRS31006113,2020,Q03,2020 Qtr3,117.883
PRS31006113,2020,Q04,2020 Qtr4,114.283
