Series ID,Year,Period,Label,Value
PRS30006113,2018,Q01,2018 Qtr1,114.151
PRS30006113,2018,Q02,2018 Qtr2,112.781
PRS30006113,2018,Q03,2018 Qtr3,113.704
PRS30006113,2018,Q04,2018 Qtr4,114.381
PRS30006113,2019,Q01,2019 Qtr1,115.923
PRS30006113,2019,Q02,2019 Qtr2,117.013
PRS30006113,2019,Q03,2019 Qtr3,116.603
PRS30006113,2019,Q04,2019 Qtr4,118.310
PRS30006113,2020,Q01,2020 Qtr1,119.550
PRS30006113,2020,Q02,2020 Qtr2,131.022
PRS30006113,2020,Q03,2020 Qtr3,120.947
PRS30006113,2020,Q04,2020 Qtr4,118.195
