Series ID,Year,Period,Label,Value
PRS32006113,2018,Q01,2018 Qtr1,112.367
PRS32006113,2018,Q02,2018 Qtr2,110.407
PRS32006113,2018,Q03,2018 Qtr3,112.207
PRS32006113,2018,Q04,2018 Qtr4,113.541
PRS32006113,2019,Q01,2019 Qtr1,114.756
PRS32006113,2019,Q02,2019 Qtr2,117.113
PRS32006113,2019,Q03,2019 Qtr3,117.826
PRS32006113,2019,Q04,2019 Qtr4,118.138
PRS32006113,2020,Q01,2020 Qtr1,118.935
PRS32006113,2020,Q02,2020 Qtr2,126.747
PRS32006113,2020,Q03,2020 Qtr3,124.630
PRS32006113,2020,Q04,2020 Qtr4,123.622
