Series ID,Year,Period,Label,Value
PRS85006113,2018,Q01,2018 Qtr1,108.799
PRS85006113,2018,Q02,2018 Qtr2,108.896
PRS85006113,2018,Q03,2018 Qtr3,109.931
PRS85006113,2018,Q04,2018 Qtr4,110.213
PRS85006113,2019,Q01,2019 Qtr1,111.622
PRS85006113,2019,Q02,2019 Qtr2,111.425
PRS85006113,2019,Q03,2019 Qtr3,111.250
PRS85006113,2019,Q04,2019 Qtr4,111.774
PRS85006113,2020,Q01,2020 Qtr1,114.421
PRS85006113,2020,Q02,2020 Qtr2,117.676
PRS85006113,2020,Q03,2020 Qtr3,114.735
PRS85006113,2020,Q04,2020 Qtr4,116.421
